group,height,weight,ape_index,strength,flexibility,leg_len_factor
elite,164.5,61.7,1.1,108,8,0.4864326417853067
elite,173.7,69.9,1.03,98,9,0.5018273649570983
elite,173.1,74.6,1.05,106,9,0.5314080687502742
elite,179.2,62.6,1.04,104,9,0.556163108372263
elite,180.7,72.4,1.09,99,9,0.5300470030794323
elite,169.4,71.2,1.04,109,8,0.5352370315807332
elite,178.9,80.5,1.07,105,8,0.4713005627660913
elite,179.1,68.0,1.11,107,9,0.6071960850642619
elite,167.6,66.0,1.06,113,8,0.4494174729493268
elite,176.8,57.8,1.03,114,8,0.5276985784207463
elite,184.8,79.7,1.04,96,9,0.573424651937129
elite,174.9,96.7,1.06,100,8,0.5272853297944722
elite,176.8,83.0,1.06,111,8,0.5436137833867644
elite,186.2,82.2,1.05,109,9,0.4678912790161958
elite,195.2,72.1,1.06,99,8,0.48264730028483604
elite,182.4,81.9,1.07,97,8,0.5308329066802903
elite,183.3,83.2,1.04,107,8,0.4662568475944279
elite,174.2,73.4,1.02,114,9,0.5606268003518957
elite,190.8,55.6,1.02,109,9,0.5132342908189408
elite,171.6,52.9,0.99,111,9,0.44973736166077566
elite,177.4,70.4,1.0,99,9,0.5072924642646216
elite,187.4,35.4,1.02,101,9,0.4270568451902593
elite,174.0,76.9,1.01,113,9,0.47255769852762386
elite,184.7,57.6,0.97,100,8,0.5052941379387
elite,173.8,90.9,1.05,100,9,0.5020346914946723
elite,188.7,40.1,1.03,114,9,0.5732385494545996
elite,179.7,56.9,1.09,110,9,0.3913956709637181
elite,185.4,67.3,1.07,95,8,0.5127586234640313
elite,180.2,88.1,1.04,99,8,0.5579786127708396
elite,190.5,55.3,0.99,109,8,0.49952103460796143
elite,174.3,50.9,1.08,95,8,0.5213317610847981
elite,182.4,36.7,1.03,113,9,0.5930928426322915
elite,165.5,86.0,1.04,99,8,0.4793230621340693
elite,173.5,73.0,1.12,114,9,0.46389720281459923
elite,163.5,61.3,1.07,108,9,0.4971896436064895
elite,172.0,43.7,1.05,107,9,0.46777562276006407
elite,173.4,105.7,1.04,113,8,0.513898782313616
elite,165.9,72.9,1.04,105,8,0.48730458102470675
elite,180.1,60.6,1.01,100,9,0.5629021663496496
elite,180.2,77.3,1.08,95,8,0.4594708869968811
elite,171.9,63.2,1.08,97,9,0.5751002452740246
elite,178.8,75.5,1.03,102,8,0.4977736237043818
elite,172.6,70.2,1.02,113,9,0.5164823446908015
elite,173.7,48.3,1.08,111,9,0.6007788149301302
elite,173.4,76.2,1.05,100,9,0.5208427607258356
elite,178.4,68.2,1.09,104,9,0.5216108419881466
elite,168.5,69.8,1.02,107,8,0.6135031457337311
elite,185.3,47.5,1.05,95,8,0.5134108312369265
elite,182.7,36.3,1.01,107,8,0.5820544592030079
elite,167.5,59.5,1.07,101,8,0.5238858041630431
elite,172.3,56.8,1.02,106,9,0.5588802905923863
elite,174.8,49.2,1.08,105,8,0.5636331692051093
elite,170.7,82.6,1.06,100,8,0.5657454034957109
elite,171.5,62.2,1.08,108,9,0.5941214520430373
elite,185.5,61.0,1.04,102,9,0.4663796274159381
elite,170.4,117.2,0.99,111,8,0.5165427524306905
elite,178.7,40.4,1.11,111,9,0.5411376209947443
elite,173.2,64.8,1.09,104,9,0.5276072251552669
elite,175.9,79.6,1.03,98,9,0.5692461430778969
elite,175.7,81.6,1.03,100,9,0.534823171769718
elite,170.1,58.8,1.06,102,8,0.5403318550592421
elite,194.8,89.4,1.04,95,8,0.45961109050111454
elite,199.7,51.9,1.04,99,9,0.5077077546542613
elite,172.8,89.4,1.13,95,8,0.5260234754182891
elite,177.9,50.4,1.03,97,8,0.5076171518480935
elite,176.0,80.0,1.05,106,8,0.4906881588030564
elite,176.6,95.2,1.04,95,9,0.5477219317178234
elite,171.7,80.0,1.06,104,8,0.5117789807039518
elite,169.7,77.7,1.03,100,9,0.5812037139962334
elite,168.2,48.5,1.06,96,9,0.5720538959121474
