,route_id,points
0,sim_00,"[(893.2727272727273, 1642.0), (955.0833333333334, 1515.4166666666667), (909.6666666666666, 1442.4666666666667), (898.2, 1115.8666666666666), (562.7, 636.4), (488.25, 181.0), (562.7894736842105, 59.78947368421053), (276.7692307692308, 21.692307692307693), (379.7, 16.4)]"
1,sim_01,"[(876.0, 1575.3333333333333), (739.8, 1467.6), (563.1538461538462, 1396.6923076923076), (893.6666666666666, 1345.6666666666667), (644.6666666666666, 906.1333333333333), (713.8076923076923, 369.7307692307692), (379.7, 16.4)]"
2,sim_02,"[(570.875, 1743.875), (783.1578947368421, 1476.6315789473683), (909.6666666666666, 1442.4666666666667), (932.5714285714286, 1276.357142857143), (348.6842105263158, 1174.5263157894738), (690.0, 1066.8), (552.8181818181819, 545.4545454545455), (713.8076923076923, 369.7307692307692), (567.8235294117648, 364.2352941176471), (562.7894736842105, 59.78947368421053), (276.7692307692308, 21.692307692307693), (379.7, 16.4)]"
3,sim_03,"[(876.0, 1575.3333333333333), (739.8, 1467.6), (898.2, 1115.8666666666666), (319.38461538461536, 1110.4615384615386), (748.7272727272727, 931.7272727272727), (552.8181818181819, 545.4545454545455), (713.8076923076923, 369.7307692307692), (488.25, 181.0), (562.7894736842105, 59.78947368421053), (276.7692307692308, 21.692307692307693), (379.7, 16.4)]"
4,sim_04,"[(893.2727272727273, 1642.0), (1077.3333333333333, 1335.25), (808.6, 1025.1333333333334), (552.8181818181819, 545.4545454545455), (555.5714285714286, 396.6190476190476), (488.57142857142856, 109.65714285714286), (379.7, 16.4)]"
5,sim_10,"[(1253.4666666666667, 491.2), (1032.909090909091, 88.54545454545455), (1294.6666666666667, 4.666666666666667)]"
6,sim_11,"[(2501.5833333333335, 472.3333333333333), (2315.181818181818, 21.454545454545453)]"
7,sim_12,"[(1253.4666666666667, 491.2), (1190.5384615384614, 30.692307692307693), (1294.6666666666667, 4.666666666666667)]"
8,sim_13,"[(2501.5833333333335, 472.3333333333333), (2315.181818181818, 21.454545454545453)]"
9,sim_14,"[(2501.5833333333335, 472.3333333333333), (2315.181818181818, 21.454545454545453)]"
10,sim_20,"[(2534.1052631578946, 1500.7368421052631), (2454.086956521739, 1112.391304347826), (2301.0, 934.0), (2002.0, 884.6), (1504.6, 772.1), (1426.375, 763.1875), (1647.357142857143, 744.1428571428571), (1963.6666666666667, 491.53333333333336), (1918.7857142857142, 264.0357142857143), (2325.0, 24.642857142857142)]"
11,sim_21,"[(1799.0, 1317.888888888889), (1648.0, 993.2857142857143), (1997.5263157894738, 933.0526315789474), (1947.7407407407406, 388.81481481481484), (2038.375, 337.5), (2132.5714285714284, 293.14285714285717), (1918.7857142857142, 264.0357142857143), (2035.7857142857142, 228.53571428571428), (2325.0, 24.642857142857142)]"
12,sim_22,"[(1502.6666666666667, 1140.6666666666667), (1658.1, 705.1), (1872.7083333333333, 441.625), (2035.7857142857142, 228.53571428571428), (2550.4285714285716, 198.85714285714286), (2325.0, 24.642857142857142)]"
13,sim_23,"[(1718.857142857143, 1130.857142857143), (1686.2, 918.6), (1963.6666666666667, 491.53333333333336), (1946.2142857142858, 354.85714285714283), (1918.7857142857142, 264.0357142857143), (2325.0, 24.642857142857142)]"
14,sim_24,"[(1749.375, 1145.75), (1900.375, 733.5), (2001.6666666666667, 611.7142857142857), (2035.3142857142857, 486.51428571428573), (1956.75, 240.65), (2550.4285714285716, 198.85714285714286), (2517.25, 36.75), (2325.0, 24.642857142857142)]"
